sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
125@1,-80.00601105,40.44347189,70,36.5,29,27,50,187.5,484,220,234,465.5,392.5,414.5,430.5,443.5,533.5,616.5,784,827.5,637,287.5,239.5,238,196.5,97.5
27494@1,-79.89987878,40.39618532,53,33.5,44,78,263.5,168,227,142.5,629,507,541,577,587.5,583.5,630,693,283.5,646,518,433.5,308.5,269,159.5,96.5
5455@1,-80.03863061,40.2958532,34,12,14,38,138,375,513,403,356,323,382,427,392,408,538,654,681,613,511,432,319,222,121,61
27576@1,-79.89122003,40.39479888,13,8,12,31,86,190,214,153,134,163,179,177,193,182,181,173,238,194,138,98,92,60,43,21
38262@1,-79.8843962,40.42981151,54,45,18,18,17,69,239,564,570,349,315,318,366,351,414,539,541,534,531,318,262,236,153,105
5659@1,-80.1372292,40.48560341,13,8,3,9,15,53,151,271,246,162,135,189,156,177,229,337,401,441,281,221,171,95,76,41
20267@1,-80.01622681,40.29950641,10,6,5,8,20,46,93,67,82,90,100,83,103,94,125,128,150,142,108,78,71,61,38,17
6093@1,-79.91467769,40.30963631,92,40,24,23,66,210,465,511,428,334,378,424,425,438,430,582,684,690,508,390,348,291,248,146
5869@1,-79.97086664,40.58967211,12,7,3,1,8,30,110,212,112,96,93,119,93,98,140,209,240,230,162,105,71,53,19,26
19294@1,-79.80644559,40.49728462,4,5,5,4,4,14,47,59,55,41,36,37,35,48,45,52,64,60,62,39,30,16,15,16
5299@1,-80.18393472,40.5372503,40,27,17,13,42,136,361,502,620,625,574,640,600,570,571,563,553,573,611,499,331,191,123,104
11994@1,-80.11443564,40.35502952,156,90,78,82,198,568,524,88,149,822,721,940,48,882,86,276,478,478,220,715,252,796,624,313
10547@1,-79.9600276,40.35177071,27,17,18,54,185,565,655,492,435,461,490,473,497,549,642,720,695,608,441,386,285,167,118,41
5699@1,-80.02646274,40.44716796,192,157,129,150,228,686,523,193,921,376,55,991,27,49,149,146,243,531,114,726,633,583,428,337
5646@1,-80.23603554,40.56154963,7,2,5,2,2,12,30,31,31,27,15,27,31,35,32,38,37,41,29,33,14,24,11,14
27850@1,-79.89235907,40.34780473,45,21,4,13,25,111,331,750,521,295,276,268,287,300,393,463,504,459,431,319,219,195,87,59
21681@2,-80.26738355,40.51198237,27.5,13.5,9,6.5,11.5,35,106.5,175.5,133.5,110.5,98.5,111,112,139,203.5,329.5,432.5,455,216.5,120,114.5,105.5,88,86
78@1,-80.21668855,40.57128228,113,75,49,52,69,160,404,488,469,524,465,562,559,631,785,935,134,66,782,559,534,394,276,218
78@2,-80.21678068,40.57122386,53,51,35,78,167,544,113,245,886,645,610,560,618,608,679,734,620,617,544,389,334,272,218,117
27700@1,-80.20222577,40.57112214,7,5,2,8,49,153,401,282,237,163,211,231,233,340,365,327,318,338,268,193,112,68,35,11
39221@1,-80.13033966,40.52339013,41,23,53,54,103,212,497,688,600,466,392,405,420,395,492,581,629,604,437,307,282,242,143,120
16580@1,-79.76321437,40.60756604,4,-1,5,7,27,56,96,95,74,60,64,82,76,73,106,114,111,111,57,51,43,33,15,11
10467@2,-79.95881175,40.55709997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,311.5,279,332,354,380.5,313.5,-1,-1,-1,-1,-1,-1
19432@1,-79.97096829,40.43655209,86,50,26,22,43,160,332,522,463,404,378,462,486,468,527,617,764,504,435,379,353,370,205,132
16311@1,-79.8382457,40.65324187,21,7,2,11,20,76,154,202,132,111,94,98,116,125,149,280,323,304,204,137,95,65,45,43
10655@1,-80.2347748,40.54447919,10,15,10,22,61,214,416,396,299,309,290,347,321,362,408,478,537,447,345,255,199,110,54,33
38405@1,-80.10622054,40.50377081,119,139,120,220,173,330,568,785,725,690,624,637,618,609,628,570,657,662,419,267,278,204,240,208
5851@2,-79.93803616,40.49101832,23,10,14.5,9.5,31.5,94,328,76.5,464,305,222.5,224.5,235.5,227,236.5,244,262.5,246,198.5,144,114,101.5,76.5,43
5851@1,-79.93795133,40.4910506,45.5,22,22.5,17,54,154.5,494.5,786,682.5,498.5,406,421,450.5,461.5,560,692,264.5,258.5,465.5,328,232,187.5,142,85
21679@1,-80.29380348,40.42629009,29,22,20,29,47,113,164,158,119,125,131,161,134,149,116,110,98,130,67,60,54,33,19,8
5658@1,-80.14070889,40.49962886,3,5,1,1,-1,4,24,43,59,39,25,25,25,32,85,44,26,14,22,8,7,13,3,1
27846@1,-79.97106271,40.49090295,37,17,7,20,26,197,545,754,692,482,387,418,427,426,522,687,675,702,461,342,278,208,125,88
27377@1,-80.01012181,40.46558159,35,22,9,15,19,48,142,382,393,212,186,177,280,251,406,323,350,245,170,127,107,76,85,46
27424@1,-79.92727978,40.44607191,63,27,15,15,30,83,249,517,519,399,391,485,526,479,536,613,661,705,533,430,334,263,157,107
27577@1,-79.90564736,40.39599542,48,32,25,28,40,209,583,933,455,332,370,432,402,485,500,687,950,857,641,472,300,249,184,139
5454@1,-80.05820481,40.30585007,27,9,15,41,112,367,434,401,304,317,356,348,302,363,470,554,574,482,398,349,219,158,86,57
5655@1,-80.1861637,40.52101534,55,30,17,36,46,141,480,974,936,668,566,652,678,663,763,818,949,96,820,616,483,325,216,113
6090@1,-79.90341252,40.31638291,7,5,2,2,22,64,112,123,81,47,60,76,71,60,77,118,161,151,89,59,62,52,83,22
5743@1,-80.05326729,40.64122108,7,2,5,4,14,49,216,412,494,374,298,359,356,335,413,512,576,613,446,294,218,149,55,21
11996@2,-80.09948818,40.37247829,67,27,22,20,25,101,192,331,386,419,487,709,773,769,737,647,689,751,763,734,579,456,239,171
5963@1,-79.80086253,40.50683682,14,8,6,7,4,14,88,107,91,50,65,53,65,61,62,107,123,96,90,79,61,31,23,33
5678@1,-80.13555465,40.57056422,1,-1,-1,1,5,5,15,35,30,21,19,15,18,20,25,26,33,39,32,13,15,4,5,5
10480@2,-79.87870729,40.25965705,120,49,45,35,80,220,408,619,564,501,529,597,604,642,836,98,146,42,688,552,413,362,283,302
10480@1,-79.87891016,40.25748112,34,53,40,93,287,908,182,24,757,581,565,616,615,644,609,663,717,693,449,419,328,294,244,158
27557@1,-79.98085514,40.41769978,23,12,9.666666667,16.33333333,23.33333333,89.33333333,281.3333333,403.6666667,340.3333333,250,241.6666667,252,299,317,422.3333333,475.3333333,544.6666667,509.6666667,428,293.3333333,192.3333333,131,84.33333333,57.66666667
5470@1,-80.1453316,40.32183749,1,4,-1,1,3,8,30,48,42,31,32,29,31,30,33,44,57,65,48,43,35,17,8,3
32559@1,-79.78363888,40.32375716,92,43,50,56,120,394,919,67,986,739,639,721,676,741,893,224,270,295,52,694,637,526,339,205
10592@1,-79.99718277,40.61477861,10,3,8,7,23,94,308,487,396,261,254,257,256,277,312,343,444,454,276,182,121,109,63,48
63@1,-79.72359812,40.65070815,108,89,49,69,105,327,640,816,730,676,666,675,768,910,226,687,944,597,97,781,548,460,333,285
63@2,-79.72344559,40.65694005,-1,1,65,139,442,186,880,675,145,878,835,816,802,816,829,985,47,997,664,393,424,268,192,113
5683@1,-80.11212426,40.59512014,5,-1,1,3,4,10,69,120,116,83,66,58,68,72,98,115,133,211,112,89,87,24,17,7
27759@1,-79.80874125,40.37181397,26,16,19,44,136,292,390,310,220,208,237,238,243,322,446,456,455,294,223,160,117,87,60,46
5637@1,-80.29856622,40.47668125,8,2,2,5,4,21,27,31,21,19,10,18,19,28,22,28,46,33,20,6,16,17,3,7
27754@1,-79.864965,40.343396,14,11,6,6,10,28,76,425,344,314,322,370,384,375,406,329,285,198,155,106,101,43,45,50
5647@1,-80.23171227,40.55754401,3,1,3,-1,3,2,7,10,13,24,22,18,26,12,19,22,17,23,26,21,15,17,12,8
6055@1,-79.86625071,40.28930403,40,35,18,28,64,220,406,434,350,350,342,362,390,391,511,649,724,644,439,323,301,213,179,92
21606@1,-80.16477952,40.51095983,9,4,6,16,46,207,448,337,168,133,132,119,129,201,272,391,546,318,164,163,57,53,31,15
5520@1,-80.23718558,40.42360337,4,5,5,3,3,4,43,51,59,48,48,58,58,57,47,65,84,79,68,49,42,19,15,10
21046@1,-80.14945762,40.35012548,6,16,4,6,19,66,220,319,299,222,187,205,234,202,276,303,368,326,211,149,116,102,54,39
12356@1,-80.02760206,40.35445046,91,86,75,206,631,498,766,515,408,381,413,492,458,590,915,960,920,656,341,168,892,664,394,165
27463@1,-79.93800516,40.42494406,24.5,10.5,8.5,8.5,11.5,37.5,139.5,404,373,252.5,275.5,293.5,332.5,326,442.5,719,860,806,534.5,312,205.5,156,104.5,72
668@1,-79.94931803,40.49267279,19,8,13,12,24,75,175,433,358,146,123,134,157,130,152,164,213,190,172,131,125,95,89,51
19433@1,-79.96665254,40.43582339,213,141,109,81,163,589,259,545,359,361,213,231,581,185,228,218,380,527,662,66,791,749,673,341
5514@1,-80.11740633,40.41247125,9,2,2,5,7,7,69,99,156,82,101,105,109,118,109,150,233,286,200,129,93,53,45,16
10516@1,-79.92143526,40.50233188,9,8,3,4,7,44,142,296,388,209,223,180,161,155,213,264,312,293,272,231,128,89,81,37
5512@1,-80.14877776,40.42389295,9,3,8,-1,12,34,104,179,152,99,68,74,96,95,79,135,159,195,108,75,56,38,26,16
27561@1,-80.00986265,40.42289136,28.5,15.5,16.5,15.5,19.5,30,49.5,78,113,120.5,105.5,134,175,205,203.5,171,184,170,170,164,139,138.5,86,66.5
19005@2,-79.9752914,40.3360271,91,50,39,39,109,298,778,21,875,792,837,933,972,9,150,297,304,366,49,727,571,406,243,136
5699@2,-80.02800094,40.44451983,280,183,188,169,194,371,975,615,389,97,983,54,141,305,122,910,742,689,698,7,892,706,611,396
27847@1,-80.2204487,40.5790836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,277,302,299,367,341,380,-1,-1,-1,-1,-1,-1
5742@1,-80.03607262,40.65709775,6,-1,1,2,5,10,59,151,124,120,124,138,120,123,149,151,182,207,167,93,78,52,26,17
5660@1,-80.06927968,40.47568673,66,42,36,45,69,190,409,500,426,341,318,328,366,369,498,525,552,546,419,304,243,222,188,119
5975@1,-79.73396272,40.45468107,27,12,15,13,14,57,196,378,335,312,311,286,379,312,320,410,559,573,423,277,228,159,82,41
5976@1,-79.70975123,40.44757392,16,4,8,3,18,74,213,372,345,279,300,370,423,420,357,431,499,554,331,262,147,98,60,52
27616@1,-80.03841067,40.50475872,24,16,7,8,21,52,186,339,244,209,204,217,231,239,269,316,404,487,335,252,204,165,110,56
5981@1,-79.75933495,40.53641996,4,1,-1,-1,7,12,43,67,47,52,42,41,56,45,53,83,99,72,66,54,39,22,14,9
10551@1,-79.79614778,40.44994226,13,16,17,25,80,165,266,260,184,198,167,166,219,232,316,372,354,267,211,179,126,74,55,27
33169@1,-80.02596189,40.28808505,57,38,36,78,270,589,821,709,639,742,742,833,813,834,980,112,141,154,960,782,528,310,194,102
10593@1,-80.15666895,40.60958247,25,9,13,10,41,122,338,474,379,224,245,274,252,278,281,399,513,549,380,219,159,125,97,67
5473@1,-80.10516875,40.35188951,27,11,14,4,16,55,161,391,384,316,285,317,374,367,383,363,475,577,490,380,253,211,108,50
5680@1,-80.11615287,40.56808316,11,4,4,9,8,41,82,152,103,44,49,54,70,59,83,99,126,159,113,79,53,36,21,7
27785@1,-79.99435857,40.44626615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,523,542,541,619,808,784,-1,-1,-1,-1,-1,-1
27651@1,-80.14499971,40.46377961,43,17,15,30,49,139,392,716,658,510,561,684,714,722,756,925,242,311,62,734,538,318,215,108
23469@1,-80.12897801,40.51752075,66,40,16,23,39,91,374,703,565,442,453,521,525,532,632,795,829,812,739,609,394,293,174,122
27585@1,-80.03374123,40.39925961,99,55,88,110,132,143,187,198,253,286,342,408,364,275,342,507,540,496,342,275,275,231,77,88
27755@1,-79.82668121,40.33994375,87,68,53,56,132,385,733,893,779,621,602,601,597,663,739,798,906,828,627,432,366,273,188,123
5636@1,-80.30828669,40.46748215,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
21555@2,-80.08708882,40.44575359,43,29,33,49,82,74,120,207,233,152,124,147,168,148,159,138,153,131,144,113,111,86,113,49
31153@1,-80.06919161,40.67298992,10.5,3.5,2.5,5,13,50.5,192.5,415,357,244.5,215.5,289,320,308.5,317,393.5,615.5,662.5,382,244,165,95,38.5,15.5
21595@1,-80.19889447,40.50338382,18,8,8,10,19,59,227,636,659,332,304,337,414,360,475,623,801,977,526,318,219,162,89,64
25104@1,-79.85281092,40.55974696,39,31,102,78,218,503,725,644,491,414,396,457,492,596,695,775,773,502,426,285,206,134,91,59
27532@1,-79.87655006,40.54189257,5,1,-1,1,3,28,156,373,267,190,157,173,179,231,299,328,339,380,244,145,120,70,29,8
5706@1,-80.04584551,40.58829738,13,6,6,4,13,38,209,536,368,291,278,304,303,328,379,401,396,418,417,316,176,152,53,22
5865@1,-79.97319736,40.52188593,8,5,4,12,16,54,390,376,232,153,137,214,204,206,398,432,460,408,398,273,217,103,38,34
5956@1,-79.79393208,40.50434276,39,14,13,20,48,134,365,509,447,322,352,385,394,380,470,679,664,721,516,395,348,231,114,91
5697@1,-80.07817479,40.51067336,9,5,5,2,8,28,76,211,156,139,96,139,142,134,192,235,220,300,237,144,118,102,32,13
5928@1,-79.76158468,40.64986816,-1,2,2,3,24,30,26,25,27,28,31,46,38,40,66,75,66,51,43,32,16,7,10,6
140@1,-80.20283561,40.47773393,-1,1,-1,1,14,34,31,31,28,39,38,39,35,43,49,80,66,25,17,19,1,10,1,3
23748@1,-79.97595957,40.61470095,15,6,2,3,16,59,186,226,188,126,110,134,125,131,165,225,296,248,168,119,88,70,43,36
5301@1,-80.03000882,40.33878239,26,12,8,18,88,141,250,250,338,432,477,536,508,491,591,667,571,530,402,390,234,113,66,39
5895@1,-79.89148217,40.65536293,13,6,3,18,32,110,275,357,232,204,162,166,178,186,213,344,418,433,221,175,143,91,54,30
5661@1,-80.07985908,40.48544936,25,7,6,16,22,63,114,182,137,93,102,113,143,140,153,185,211,196,139,79,62,62,40,33
5673@1,-80.14050018,40.53608201,4,3,5,2,5,9,63,116,91,79,80,75,74,70,80,103,105,125,74,56,36,38,13,9
27611@1,-80.0592314,40.4903408,23,3,5,10,18,85,168,191,180,150,119,113,121,124,134,168,229,258,201,113,44,39,28,23
27686@1,-80.09697887,40.67382269,12,4,1,6,3,10,24,55,60,38,48,144,210,145,105,91,120,133,147,97,87,48,18,11
23734@1,-80.09667624,40.54366556,17,2,6,11,16,46,173,388,287,254,229,215,214,227,238,329,357,373,295,251,115,70,61,24
11980@1,-79.84712014,40.27040324,38,35,21,19,45,164,268,338,369,351,307,359,400,411,428,482,550,562,483,383,383,262,175,104
10537@1,-79.91152322,40.21166706,7,3,6,3,8,33,63,61,42,44,36,41,52,53,59,59,87,75,63,42,49,25,23,11
27641@1,-80.07955063,40.4506875,47,21,62,18,35,62,180,256,279,102,94,118,104,133,165,180,187,222,193,147,104,76,122,89
101@1,-79.79772608,40.44196665,740,395,226,181,179,264,786,823,496,600,340,89,438,533,739,117,446,887,178,565,566,907,634,117
5287@1,-79.92746902,40.43058327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,248,272,325,426,457,433,-1,-1,-1,-1,-1,-1
101@2,-79.79759257,40.442085,518,248,211,150,250,607,176,553,990,614,474,359,398,415,323,528,561,667,944,475,809,741,437,788
83@2,-80.11120568,40.43566671,36,78,34,56,89,193,392,95,750,699,685,721,860,944,981,68,921,788,490,443,340,277,194,83
83@1,-80.11093659,40.43570197,92,39,64,74,95,202,362,72,758,703,719,785,944,19,33,123,898,762,483,446,424,290,213,129
11979@1,-79.85202074,40.26291643,47,16,20,34,80,153,449,413,379,352,327,315,340,362,454,567,590,624,404,316,256,158,114,59
23649@1,-80.11606222,40.60672953,20,8,14,23,43,105,384,841,614,486,391,389,400,432,453,647,828,184,709,472,257,211,139,51
33699@1,-79.94453208,40.41094644,94,72,62,166,566,311,981,575,957,787,878,877,897,273,635,658,613,196,675,575,465,429,270,153
27650@1,-80.10095603,40.41818755,31,22,3,18,29,115,441,966,603,394,400,462,489,425,468,563,816,820,451,279,183,103,42,18
26731@1,-80.13002628,40.39042704,7,9,6,2,13,45,145,451,344,230,165,230,203,192,259,339,441,480,387,194,152,126,58,36
27418@1,-79.9196382,40.48281905,68,25,17,21,36,148,495,22,967,660,573,609,700,653,714,893,297,226,764,564,430,333,215,115
6045@1,-79.85453318,40.29818456,3,2,1,1,5,12,12,26,24,9,20,20,14,24,19,28,37,33,34,28,17,9,13,1
27691@1,-80.16837751,40.51620141,7,3,10,11,31,88,89,91,62,55,76,79,86,100,86,117,139,106,113,72,52,27,18,6
15781@1,-79.81338453,40.58385165,-1,-1,-1,-1,-1,1,12,11,13,9,9,6,7,6,5,12,18,14,6,2,-1,2,-1,1
25103@1,-79.96375105,40.43568915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,520,584,658,915,78,931,-1,-1,-1,-1,-1,-1
25103@2,-79.96360178,40.43561477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,306,277,308,597,976,170,-1,-1,-1,-1,-1,-1
6060@1,-79.87662789,40.22430926,2,1,-1,-1,2,8,6,3,4,9,8,14,9,14,10,12,14,24,11,6,12,11,12,8
15716@1,-79.83930713,40.64069232,6,7,8,24,59,145,171,95,88,76,94,94,107,132,179,217,214,158,131,92,45,30,15,10
39407@1,-79.88758153,40.27146726,5,-1,1,2,4,19,37,43,40,33,27,25,27,28,30,37,51,58,45,25,10,9,6,5
11704@2,-79.88163651,40.49087993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,295.5,259.5,265.5,36,136,358.5,-1,-1,-1,-1,-1,-1
5862@1,-79.97229457,40.54133765,45,26,18,18,39,155,488,770,789,594,588,747,635,625,765,929,956,24,885,711,482,305,180,99
19154@2,-79.84093556,40.39585475,23,25,14,8,22,54,107,108,132,119,107,145,134,131,191,159,181,190,140,105,87,78,70,30
5930@1,-79.73743304,40.64235716,1,2,2,6,27,43,93,90,61,53,91,78,66,88,154,132,122,97,78,52,31,10,6,2
5696@1,-80.09159719,40.56997361,5,1,1,-1,7,28,95,171,146,82,64,64,72,90,114,155,186,205,140,88,46,53,44,25
141@1,-80.20632281,40.50428683,39,18,12,8,11,48,303,718,773,645,616,766,925,801,681,812,184,277,779,590,484,270,162,70
5927@1,-79.71052693,40.66743435,78,79,80,136,387,714,806,622,485,532,563,649,621,829,975,52,17,761,578,408,290,165,177,130
5894@1,-79.88257468,40.62445665,2,2,1,1,-1,2,9,23,17,11,10,8,11,12,17,22,22,23,17,12,10,7,4,4
31188@1,-79.95762792,40.41964034,178,118,93,107,210,829,642,830,727,211,89,107,192,202,566,795,744,810,346,22,825,719,598,377
5899@1,-79.80650395,40.54097187,85,44,50,99,104,321,797,4,997,688,682,856,886,847,907,195,225,130,814,498,433,326,194,169
27673@1,-79.87211878,40.38903333,1,-1,2,7,7,21,46,35,24,24,31,39,38,58,63,54,72,53,43,23,30,24,10,4
23744@1,-80.06716587,40.66255254,11,3.5,9.5,13,25,74,223.5,392,351.5,295.5,274,291.5,312.5,294.5,342,423.5,497.5,520.5,369.5,274.5,174,106.5,55.5,31
5300@1,-80.1557555,40.58910128,5,3,2,-1,2,7,25,67,53,51,62,41,52,44,47,60,73,49,72,40,40,31,11,13
6757@2,-80.03042207,40.44192626,20,9,13,29,84,264,927,272,953,661,621,677,687,725,754,785,836,724,572,406,298,156,66,49
6757@1,-80.03045353,40.44178878,45,38,8,24,41,69,185,391,420,430,447,473,517,536,599,824,956,176,757,464,301,234,115,88
5449@1,-80.02705378,40.31886804,55,38,33,69,249,564,735,664,689,808,796,815,838,868,954,104,115,10,797,872,547,391,218,112
79@1,-80.1393268,40.3297947,286,205,156,232,403,139,415,48,443,892,825,822,780,846,124,458,177,471,415,408,49,902,586,394
79@2,-80.13895775,40.33080722,303,131,130,175,350,837,240,359,57,122,973,879,963,51,178,693,14,166,85,320,45,874,649,418
5298@1,-80.18936457,40.54728101,12,3,5,7,13,56,211,553,505,330,331,372,383,385,440,516,594,551,356,221,138,79,63,21
14575@1,-79.94678631,40.49421211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,601,684,671,828,915,911,-1,-1,-1,-1,-1,-1
21563@2,-80.00941662,40.41463145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,477.5,119.5,229.5,51.5,106,125,-1,-1,-1,-1,-1,-1
21563@1,-80.00921177,40.41462511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,582.5,772,913,1218,1211,1236,-1,-1,-1,-1,-1,-1
10546@1,-79.96551324,40.35184269,22,19,15,31,119,361,344,356,338,345,386,418,400,449,468,520,525,475,351,299,212,147,98,42
14578@1,-79.89138921,40.48667021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,976,919,986,912,908,-1,-1,-1,-1,-1,-1
27446@1,-79.9348621,40.4280247,86,44,30,26,57,143,327,616,606,499,398,417,504,465,640,862,920,935,805,500,422,320,230,161
6076@1,-79.97035759,40.284892,22,4,3,6,4,38,111,137,122,88,74,91,98,85,114,142,168,166,124,114,92,63,53,47
10534@1,-79.78565915,40.64558597,7,4,10,17,103,166,199,143,129,115,151,142,158,176,218,259,240,177,142,127,75,48,22,14
5638@1,-80.29092897,40.49256144,80,24,26,68,114,312,596,800,585,500,474,491,480,527,605,711,861,867,567,405,371,286,218,160
10583@1,-79.9665203,40.5306597,80,23,12,18,32,116,373,817,726,500,421,518,517,453,678,939,780,820,662,570,317,203,91,55
27800@1,-79.85641763,40.45775209,26,30,23,8,27,74,271,409,290,248,216,250,277,241,304,417,444,475,338,268,224,161,118,86
18690@1,-79.92427135,40.28134005,23.5,8.5,8,19,41,217,429,501.5,356,281.5,266,273.5,277.5,294,358.5,525.5,656,576.5,339,237,149.5,124.5,86,45
24962@1,-79.9474449,40.61294279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,869.5,830,893.5,511.5,681.5,706,-1,-1,-1,-1,-1,-1
24962@2,-79.94754395,40.61295695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,421,405,447.5,454,19.5,494.5,-1,-1,-1,-1,-1,-1
6091@1,-79.90267742,40.30840602,19,5,12,3,5,27,94,74,59,54,75,68,82,67,81,95,95,100,83,88,69,62,33,32
27756@1,-79.84144338,40.33446845,57,33,25,23,20,78,164,213,203,211,228,222,278,258,307,346,316,326,304,280,256,192,145,104
27476@1,-79.90719257,40.46181921,14,4,9,5,5,37,241,384,192,94,65,89,83,76,114,218,275,198,86,71,50,43,28,20
14401@1,-79.9252068,40.3216069,89,36,33,21,67,261,601,720,570,485,470,502,583,577,676,804,40,960,748,537,427,372,240,155
26515@2,-80.15787617,40.51504354,55,59,67,69,270,647,838,920,697,574,675,619,686,720,832,946,210,557,459,382,296,238,136,92
19401@1,-79.91487653,40.4456426,6,8,2,6,7,41,153,418,398,261,162,212,216,189,284,305,398,410,269,187,129,94,63,31
5931@1,-79.72888519,40.62986915,35,28,32,64,221,529,782,622,557,458,609,624,628,773,963,33,41,742,530,422,317,171,146,77
27801@1,-79.82845652,40.43081867,11,2,2,9,18,41,117,156,175,127,99,108,129,104,158,209,188,162,166,126,60,50,43,32
5875@1,-79.93132947,40.52483955,11,8,5,7,27,87,241,383,299,173,147,175,186,177,250,299,310,343,252,136,95,67,64,59
38406@1,-80.28884198,40.43551911,-1,-1,-1,1,4,4,15,19,21,13,13,15,19,8,20,27,24,44,26,15,21,7,6,6
5718@1,-79.98164869,40.46947238,7,5,6,3,6,15,29,56,55,24,31,27,45,43,54,72,55,70,58,42,22,13,9,11
10601@1,-79.71080859,40.44857145,17,8,10,26,36,125,285,466,405,319,265,354,433,357,386,492,525,482,327,297,169,116,61,43
6031@1,-79.86463246,40.34947505,83,65,44,48,73,291,515,639,535,513,465,544,586,577,628,793,883,695,531,427,321,261,178,130
5727@1,-80.01342541,40.56094739,62,30,14,23,56,222,662,195,920,874,833,895,971,932,67,144,268,345,131,737,525,389,215,139
31189@1,-79.96351188,40.42473598,116,96,118,334,14,46,84,906,570,324,182,172,272,194,190,158,362,342,854,732,688,542,360,142
27578@1,-79.90567973,40.40670514,20,15,7,9,25,48,118,164,159,139,172,217,193,178,209,224,192,156,150,123,81,75,71,47
138@1,-80.04867259,40.37367577,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,544,487.5,535.5,579.5,683,725.5,-1,-1,-1,-1,-1,-1
138@2,-80.04874907,40.37370053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,289,245.5,284.5,341,409.5,448.5,-1,-1,-1,-1,-1,-1
27733@1,-80.09363557,40.37464657,109,52,39,48,116,451,97,473,321,148,37,163,257,315,358,506,678,572,448,977,899,704,416,243
5654@1,-80.13381078,40.48204988,12,17,3,14,21,91,257,465,494,281,254,285,255,318,353,551,605,684,493,387,283,152,114,67
5662@1,-80.08517751,40.4916919,35,15,17,10,36,78,214,273,219,155,128,161,154,126,173,238,328,379,258,133,118,115,62,73
5487@1,-80.08057705,40.39007699,179,100,94,79,146,432,24,475,266,884,689,722,800,907,187,384,604,712,355,73,996,854,565,355
6089@1,-79.91834767,40.30499395,91,17,15,15,48,196,364,431,314,243,199,270,253,265,318,440,575,658,427,285,239,199,212,103
62@1,-79.76356276,40.60689721,102,30,21,48,124,444,32,498,229,987,928,882,938,982,59,240,446,499,225,873,729,501,271,138
62@2,-79.7637713,40.60700024,89,12,21,49,118,429,34,479,239,982,929,909,932,959,91,287,492,566,286,914,774,523,293,152
13671@1,-79.79277036,40.47517527,87,44,33,54,91,238,639,854,898,790,759,777,835,856,976,103,222,152,928,710,619,469,266,236
10481@2,-79.91226776,40.28931538,160,64,55,47,83,253,530,668,683,601,672,780,861,877,996,363,525,309,39,861,780,653,441,388
12353@1,-80.03063302,40.29232784,66,47,37,110,338,731,903,790,717,832,856,861,906,4,121,286,330,195,30,892,568,356,192,107
3688@2,-80.27965387,40.51016512,54,9,34,47,73,152,471,821,961,751,715,732,761,895,999,103,131,28,806,681,485,436,255,165
25059@1,-80.13903602,40.50382667,66,31,24,23,38,67,196,394,365,326,261,252,275,281,341,433,479,511,348,232,211,156,173,111
25059@2,-80.1375842,40.50355701,49,51,33,51,64,206,446,826,674,444,501,558,533,451,573,718,10,124,618,312,272,221,168,110
27815@1,-79.70601645,40.45173052,5,4,1,2,6,48,131,215,192,153,142,167,186,192,227,233,301,284,215,113,99,58,42,18
5644@1,-80.16428716,40.47049281,35,9,2,9,17,65,206,448,356,267,242,292,315,304,345,455,472,606,392,329,259,133,77,46
27766@1,-80.14930243,40.34450597,18,4,3,1,7,17,104,217,222,191,159,151,245,180,199,200,312,377,258,179,169,134,68,47
6052@1,-79.91745437,40.20268604,14,7,14,18,32,73,135,140,109,130,142,136,158,172,180,184,191,166,119,98,82,69,43,39
8130@1,-79.84340866,40.35392375,26,10,5,7,7,28,76,154,138,90,82,99,103,110,121,158,163,141,117,70,72,64,52,36
6049@1,-79.85240921,40.27424738,7,6,3,4,14,36,59,80,67,83,68,84,95,93,98,126,168,154,116,111,103,57,46,17
6096@1,-79.94254404,40.34857834,121,71,51,54,93,398,970,162,855,758,756,753,865,915,10,350,454,338,57,778,619,447,352,232
6096@2,-79.94258418,40.34848523,93,70,68,62,189,635,165,412,121,945,897,909,984,919,97,109,887,73,928,631,450,416,242,144
