Certification Type, Firm Name, Owners, Work Decsription, Business Profile, NAICS Codes, Physical Address, Mailing Address, Phone Number, Fax Number, Email Address, Website
DBE,3D Plastering and Texturing Limited Liability Company,Mr. Andrew Luster,"Demolition, plastering, texturing, drywall, finishing (painting and wall coverings), insulation, siding, concrete work, masonry and carpentry including roofing, flooring and decks",,"238130, 238140, 238170, 238310, 238320, 238330, 238350, 238910, 238990, 423310, 424610",7143 Vassar Street  Pittsburgh PA 15206,7143 Vassar Street  Pittsburgh PA 15206,412-287-0449,,aluster101@gmail.com,,
DBE,"6 Degrees Consulting, Inc.",Robert L Lawson,"Sales, marketing, business development, construction management, project management, drywall contractor, framing and finish carpentry contractor, durable and nondurable goods, HVAC supply and installation, wall panels supply and installation, roofing and siding installation, and heavy equipment rental services. Used household and office goods moving. Specialized freight (except used goods) trucking, local.",,"236220, 238130, 238150, 238160, 238170, 238190, 238220, 238310, 238320, 238350, 238390, 327390, 423720, 425120, 484210, 484220, 532412, 541611, 541613",1353 heberton street  Pittsburgh PA 15206,1353 heberton street  Pittsburgh PA 15206,412-361-0157,412-361-0131,blawson@6degreesconsulting.net,http://www.6degreesconsulting.net,
DBE,"7G Design and Manufacturing Company, LLC",Mr. Demetrius Grimsley,"Provides design engineering, computer-aided design (CAD) drafting services, mechanical engineering services, and manufacturing consulting services.",,"541330, 541340, 541512",827 Ohio River Blvd.  Pittsburgh PA 15202,827 Ohio River Blvd.  Pittsburgh PA 15202,412-224-0375,,7gdmco@gmail.com,,
DBE,"925 Demolition, LLC",Mr. Jody Little,"Interior and exterior demolition, debris clean up and site preparation work",,238910,407 Bausman Street  Pittsburgh PA 15210,407 Bausman Street  Pittsburgh PA 15210,412-537-8241,,JL925demolition@icloud.com,,
DBE,"A & A Concrete Products, Inc.","Ms. Alma L Staskiewicz, Mr. William S Long",Manufacturer of precast concrete products such as manholes and catch basins.  Metal merchant wholesaler providing piping and steel grates.,,"327390, 423510",1559 Mars Evans City Road  Evans City PA 16033,1559 Mars Evans City Road  Evans City PA 16033,724-538-1114,724-538-1119,sales@aaconcreteproducts.com,,
DBE,"A & A Consultants, Inc.",Al M Ahmed,"Consulting engineering - geotechnical, structural, environmental and civil engineering; construction management and inspection; lab testing.  Site preparation contractor.",,"236210, 236220, 237110, 237990, 238910, 541330, 541380",1800 Pine Hollow Road Suite 4A  Pittsburgh PA 15136,1800 Pine Hollow Road Suite 4A  Pittsburgh PA 15136,412-323-2200,412-323-2202,admin@aaconsultinc.com,http://www.aaconsultinc.com,
DBE,"A & F Engineering, LLC","Kelly Magill, Ron Nee, Kindall Shoben","Electrical, mechanical, and plumbing engineering",,541330,104 Atlantic Avenue  Elizabeth PA 15037,104 Atlantic Avenue  Elizabeth PA 15037,412-405-9343,412-384-2291,kmagill@af-engineering.net,,
DBE,"A For the People Insurance Agency, Inc.",William Hawthorne,"Insurance agency providing business, home, auto, life, and health insurance",,524210,2514 Wylie Avenue  Pittsburgh PA 15219,2514 Wylie Avenue  Pittsburgh PA 15219,412-621-5581,412-681-5506,bill@aforthepeople.com,http://www.aforthepeople.com,
DBE,A P Enterprise LLC,Harrison Purdy,"Project management, facilities management, brokerage services, and vendor management. Office equipment and supplies. Wholesale trade agents and brokers.",,"425120, 541611",10 James Henry Jr Place  Pittsburgh PA 15213,10 James Henry Jr Place  Pittsburgh PA 15213,717-681-5199,,HarrisonPurdy@apEnterprisellc.org,http://apEnterpriseLLC.com,
DBE,A Touch Above the Rest Commercial Cleaning,Gerri Germany,"Commercial and residential cleaning services, along with post construction cleaning",,"238990, 561720, 561790",1105 Norma Hill Drive  Pittsburgh PA 15201,1105 Norma Hill Drive  Pittsburgh PA 15201,412-482-8911,412-781-6905,gerrig1226@aol.com,,
DBE,"A1 Applications, LLC","Uzair Shamsi, Roshi Shamsi, Maria Shamsi","Civil and environmental engineering consulting, surveying and mapping, computer training, educational services, IT and computer related services, event and office management",,"541330, 541370, 541512, 561110, 611420, 611430",8339 Hilltop Circle  Imperial PA 15126,8339 Hilltop Circle  Imperial PA 15126,412-298-7932,,ushamsi@a1applications.com,http://www.a1applications.com,
DBE,"ABKaelin, LLC",Ms. Alison B Kaelin,"Quality assurance, auditing, and coatings consulting to transportation, construction and nuclear industries",,"541330, 541620, 541690",5 Marshall Road  Pittsburgh PA 15214,5 Marshall Road  Pittsburgh PA 15214,412-841-7260,412-841-7260,abkaelin@comcast.net,http://www.abkaelin.com,
DBE,"ACHC Real Estate Holdings, LLC",Mr. Blythe Smith,"Leasing services for residential buildings and dwellings, temporary help services, and administrative and general management consulting services with a focus on finance",,"531110, 561320","4288 Northern Pike, Floor 2  Monroeville PA 15146","4288 Northern Pike, Floor 2  Monroeville PA 15146",412-377-2879,412-200-5326,blythesmith4@gmail.com,,
DBE,"AIA Technologies, LLC","Mr. Nimish Amin, Mr. Jatin Patel, Mr. Zinal Patel, Mr. Rakesh Diora, Mr. Pratik Monpara","Manufacturing of electronics assembly, electrical assembly, electro mechanical assembly, mechanical assembly, printed circuit board, wiring harness, and electronic box build and electrical panels",,"334412, 334418",750 Trumbull Drive  Pittsburgh PA 15205,750 Trumbull Drive  Pittsburgh PA 15205,412-276-3495,412-276-3169,zpatel@aia-technologies.com,http://www.aia-technologies.com,
DBE,"ARK Transport, LLC dba ARK Landscaping & Supplies","Ms. Keya Lucas, Mr. Robert Lucas","Transportation of goods, including but not limited to, dump truck hauling of aggregates, stone, dirt, asphalt, and salt",,"484220, 562119, 562212",93 Lafferty Avenue  Pittsburgh PA 15210,93 Lafferty Avenue  Pittsburgh PA 15210,412-956-4979,,ARKtransport93@gmail.com,,
